,COF ID,k_avg [W/(mK)],k_x [W/(mK)],k_y [W/(mK)],Density [g/cm³],Largest included sphere diameter [A],Void fraction [-],Surface area [m^2/g],Dangling Mass Ratio [-]
640,linker102_CO_linker1_NH_kgm_relaxed,0.4368983015285439,0.4463576205137656,0.4274389825433222,0.34279613,25.50197,0.826935,5303.71,0.363801459
641,linker92_C_linker72_C_fxt_relaxed,0.7296633757589882,0.7328771270503343,0.7264496244676422,0.79747627,23.63759,0.778464,3829.83,0.438510182
642,linker93_C_linker13_C_hca_relaxed,0.47391671646510447,0.4677555532904298,0.4800778796397792,0.32216813,46.36846,0.881728,5702.92,0.232191734
643,linker105_C_linker40_C_kgm_relaxed,0.6438222597813356,0.6455005794193232,0.642143940143348,0.66211437,23.87668,0.854335,4931.59,0.224095701
644,linker96_C_linker61_C_kgd-a_relaxed,0.8126805900293987,0.8520916532801623,0.7732695267786351,0.49483176,25.68452,0.914765,7737.79,0.084403725
645,linker93_C_linker85_C_hcb_relaxed,0.6503451774594653,0.5980369349292973,0.7026534199896334,0.47118013,20.30887,0.858694,6534.77,0.185045003
646,linker98_C_linker25_C_sql_relaxed,0.7912988885844857,0.8057563582024766,0.7768414189664948,0.54563903,20.17414,0.871206,6541.42,0.269807174
647,linker95_C_linker4_C_hcb_relaxed,0.516685936813198,0.5368361864180156,0.4965356872083803,0.39558399,31.53334,0.924687,8506.56,0.168184494
648,linker91_C_linker38_C_kgd-a_relaxed,0.9272074705898111,0.9585225998289322,0.8958923413506901,0.82056517,19.29223,0.894024,6278.37,0.145087481
649,linker92_C_linker14_C_ply_relaxed,0.473126226162658,0.4769786555100849,0.469273796815231,0.51018126,22.38816,0.829957,6615.45,
650,linker91_C_linker59_C_fxt_relaxed,1.1160959554752339,1.16176233683417,1.0704295741162977,0.89114903,23.17082,0.857438,6393.56,0.111303829
651,linker98_C_linker67_C_htb_relaxed,0.8228347932501919,0.8206586493618158,0.8250109371385681,0.60570669,29.46705,0.86554,6282.04,0.244096384
652,linker109_C_linker84_C_sql_relaxed,1.198413165307926,1.1482398512495435,1.2485864793663086,0.75480842,8.11322,0.620216,3331.99,0.100537998
653,linker92_C_linker41_C_fxt_relaxed,0.8237301041172999,0.8182881547805255,0.8291720534540742,0.76767854,26.79639,0.823512,4909.13,
654,linker91_C_linker41_C_htb-a_relaxed,0.8247722611422259,0.8142816139941067,0.8352629082903451,0.95728499,26.45018,0.853922,5327.78,
655,linker108_CO_linker58_NH_sql_relaxed,2.102588487690678,2.05775186007006,2.147425115311296,0.94355873,11.66118,0.86955,6665.1,0.148361166
656,linker91_C_linker82_C_tth-a_relaxed,0.8892558489266175,0.897874485806772,0.880637212046463,0.82819444,22.97372,0.856185,6290.76,0.111303829
657,linker93_C_linker84_C_hcb_relaxed,0.6840133611489939,0.7117675865752093,0.6562591357227785,0.41243158,20.70884,0.881569,7386.39,0.098557475
658,linker108_N_linker9_CH_kgm_relaxed,0.9952892222602892,1.0134640194666975,0.9771144250538808,0.87198724,18.78685,0.853439,6702.28,0.145041982
659,linker91_C_linker32_C_tts-a_relaxed,0.7031161439359874,0.708874656156445,0.6973576317155299,0.62105613,25.82038,0.877988,7498.35,0.152718868
660,linker97_CH_linker8_N_kgm_relaxed,0.4288345263900166,0.4111547790295725,0.4465142737504607,0.39945297,49.53646,0.919783,7234.22,0.24255359
661,linker98_C_linker68_C_htb_relaxed,0.7791616590308961,0.7936798481432633,0.7646434699185287,0.60461189,29.46771,0.866641,6327.89,0.140318978
662,linker100_CH_linker79_N_kgm_relaxed,0.4717900791278396,0.4518685784663981,0.4917115797892811,0.67856531,22.65488,0.850874,6452.57,
663,linker92_C_linker68_C_fss_relaxed,0.8819420940223139,0.8581436290169857,0.9057405590276422,0.84630782,12.90281,0.818893,5675.31,0.282123043
